"","state","state_j","score","name_x","pro_blm_ratio_x","topic_blm_ratio_x","name_y","pro_blm_ratio_y","topic_blm_ratio_y","contig","dif_mrp_ideology","dif_urban_index","dif_white","dif_black","dif_med_inc","dif_population","sim_score","dif_ratio"
"71","AL","NH",0,"Kay Ivey",0,0.0209923664122137,"Chris Sununu",0.00520156046814044,0.035110533159948,0,0.27023628,0.31,0.2448,0.25040001,34205,3646750,0,0.0141181667477343
"72","AL","NJ",0,"Kay Ivey",0,0.0209923664122137,"Phil Murphy",0.00658288450029922,0.0365050867743866,0,0.36000326,2.6300001,0.02,0.132,30860,4264715,0.0058139535,0.0155127203621729
"73","AL","NM",0,"Kay Ivey",0,0.0209923664122137,"Michelle Lujan Grisham",0.00117508813160987,0.027027027027027,0,0.18841685,0.28999999,0.025,0.24519999,3783,2906757,0.0058139535,0.0060346606148133
"74","AL","OH",0,"Kay Ivey",0,0.0209923664122137,"Mike DeWine",0.00355239786856128,0.0284191829484902,0,0.15985674,1.27,0.12970001,0.14229999,5690,6775169,0.029069768,0.0074268165362765
"75","AL","OK",0,"Kay Ivey",0,0.0209923664122137,"Kevin Stitt",0.00697674418604651,0.0372093023255814,0,0.041794941,0.33000001,0.036499999,0.193,2218,1064926,0.13953489,0.0162169359133677
"76","AL","OR",1,"Kay Ivey",0,0.0209923664122137,"Kate Brown",0.00289435600578871,0.0738060781476122,0,0.35856992,1.1,0.15090001,0.24699999,22166,787023,0.011627907,0.0528137117353985
"77","AL","PA",1,"Kay Ivey",0,0.0209923664122137,"Tom Wolf",0.0114942528735632,0.0505747126436782,0,0.18979633,1.54,0.1187,0.155,16100,7978421,0.0058139535,0.0295823462314645
"78","AL","RI",0,"Kay Ivey",0,0.0209923664122137,"Gina Raimondo",0,0.333333333333333,0,0.39813048,2.1099999,0.115,0.2005,25486,3926900,0.0058139535,0.312340966921119
"79","AL","SC",0,"Kay Ivey",0,0.0209923664122137,"Henry McMaster",0,0.0384615384615385,0,0.069710761,0.5,0.0098999999,0.0014,5652,94146,0.30813953,0.0174691720493248
"80","AL","SD",0,"Kay Ivey",0,0.0209923664122137,"Kristi Noem",0.00689655172413793,0.0781609195402299,0,0.029975953,0.88,0.1611,0.2445,15500,4137612,0.023255814,0.0571685531280162
"81","AL","TN",0,"Kay Ivey",0,0.0209923664122137,"Bill Lee",0.00961538461538462,0.0416666666666667,1,0.045080226,0.58999997,0.092299998,0.099200003,286,1886561,0.31395349,0.020674300254453
"82","AL","TX",0,"Kay Ivey",0,0.0209923664122137,"Greg Abbott",0.0481099656357388,0.154639175257732,0,0.14627676,1.5599999,0.0166,0.14489999,13715,24121226,0.1627907,0.133646808845518
"83","AL","UT",0,"Kay Ivey",0,0.0209923664122137,"Gary Herbert",0,0.037037037037037,0,0.091628477,1.35,0.17640001,0.2538,29304,1752663,0.040697675,0.0160446706248233
"84","AL","VA",0,"Kay Ivey",0,0.0209923664122137,"Ralph Northam",0.0173410404624277,0.0635838150289017,0,0.22300696,1.3,0.0118,0.075400002,27525,3607114,0.063953489,0.042591448616688
"85","AL","VT",1,"Kay Ivey",0,0.0209923664122137,"Phil Scott",0.0200364298724954,0.0400728597449909,0,0.48426938,0.76999998,0.26100001,0.25310001,12568,4381202,0,0.0190804933327772
"86","AL","WA",1,"Kay Ivey",0,0.0209923664122137,"Jay Inslee",0.0171339563862928,0.0607476635514019,0,0.37479416,1.51,0.0603,0.2273,26669,2681002,0,0.0397552971391882
"87","AL","WI",0,"Kay Ivey",0,0.0209923664122137,"Tony Evers",0.0212389380530973,0.0831858407079646,0,0.19405207,0.57999998,0.168,0.2025,12716,869439,0.0058139535,0.0621934742957509
"88","AL","WY",0,"Kay Ivey",0,0.0209923664122137,"Mark Gordon",0,0.0206896551724138,0,0.15257566,1.35,0.22849999,0.2572,10761,4447428,0.034883723,0.000302711239799899
"89","AZ","AK",0,"Doug Ducey",0.00151171579743008,0.0347694633408919,"Mike Dunleavy",0,0.0410958904109589,0,0.13908131,2.5599999,0.1041,0.0129,7658,6418111,0.057692308,0.006326427070067
